Wall time,Step,Loss,RMSE_Log
1765056470.28676,0,1.45032000541687,1.28679478168488
1765056525.57566,1,1.72336041927338,0.712086498737335
1765056581.27109,2,1.20571136474609,0.620288670063019
1765056637.21185,3,1.49491739273071,0.525547862052918
1765056692.90595,4,1.36879456043243,0.480630844831467
1765056748.19029,5,0.761282682418823,0.43796780705452
1765056803.75247,6,1.40417659282684,0.421744614839554
1765056859.34325,7,1.28192114830017,0.365722626447678
1765056915.13713,8,0.68292361497879,0.340715885162354
1765056970.61529,9,0.750974357128143,0.296658784151077
1765057025.61844,10,0.591494143009186,0.30573171377182
1765057080.7606,11,0.504647970199585,0.292512446641922
1765057135.95863,12,0.653312206268311,0.269288927316666
1765057191.29027,13,0.981124997138977,0.318424463272095
1765057246.59828,14,1.01208472251892,0.256618976593018
1765057301.69562,15,0.789652943611145,0.252804905176163
1765057356.95254,16,1.08983850479126,0.234129950404167
1765057411.78812,17,1.02818036079407,0.234668582677841
1765057467.0131,18,0.835139513015747,0.218224734067917
1765057522.31353,19,0.615471005439758,0.225552901625633
1765057577.47652,20,1.18422818183899,0.196429133415222
1765057632.73373,21,0.872206389904022,0.187454000115395
1765057687.66924,22,0.339118927717209,0.158846229314804
1765057742.66184,23,0.917134046554565,0.141597360372543
1765057797.88121,24,0.974337041378021,0.149443909525871
1765057852.89435,25,0.817841589450836,0.145522236824036
1765057907.91894,26,0.611787497997284,0.142486557364464
1765057963.02737,27,0.716849446296692,0.157297596335411
1765058018.25887,28,0.397922247648239,0.142532035708427
1765058073.44143,29,0.916208982467651,0.137658387422562
1765058128.62698,30,0.926751255989075,0.147189438343048
1765058183.73898,31,0.536346077919006,0.124743618071079
1765058238.78308,32,0.986786127090454,0.130768239498138
1765058293.95381,33,0.5973259806633,0.123124346137047
1765058348.90279,34,0.601814925670624,0.127403929829597
1765058403.95853,35,0.523643314838409,0.129207596182823
1765058459.22141,36,0.745799601078033,0.106735855340958
1765058514.29245,37,0.305355101823807,0.105474151670933
1765058569.50759,38,0.709690749645233,0.112846180796623
1765058624.56167,39,0.318932592868805,0.0971315205097199
1765058679.60638,40,0.882641196250916,0.100723914802074
1765058734.85083,41,0.456189066171646,0.103543400764465
1765058790.02678,42,0.33786016702652,0.0960999354720116
1765058845.36007,43,0.469240635633469,0.0961411893367767
1765058900.65917,44,0.319914668798447,0.0947752296924591
1765058955.65306,45,0.773260951042175,0.0993539765477181
1765059010.95144,46,0.64683610200882,0.0995031446218491
1765059066.15546,47,0.451649755239487,0.0923247635364533
1765059121.54831,48,0.502335667610168,0.0918483585119247
1765059176.70967,49,0.654516339302063,0.0924733579158783
1765059231.77243,50,0.552789092063904,0.0898061767220497
1765059287.20793,51,0.426886707544327,0.0876290276646614
1765059342.48473,52,0.483024597167969,0.087504081428051
1765059397.74865,53,0.297339260578156,0.0872996971011162
1765059453.12113,54,0.397406101226807,0.0856835469603539
1765059508.32731,55,0.639141142368317,0.0847338363528252
1765059563.49265,56,0.495482116937637,0.0832733660936356
1765059618.88162,57,0.6342893242836,0.0839250609278679
1765059674.23373,58,0.557897090911865,0.0844344273209572
1765059729.3441,59,0.680685639381409,0.0808135420084
1765059784.6494,60,0.45989865064621,0.0854993984103203
1765059839.90864,61,0.848798990249634,0.0816550329327583
1765059895.01861,62,1.08296847343445,0.0822591707110405
1765059950.35552,63,0.460669964551926,0.0818760320544243
1765060005.63267,64,0.45195284485817,0.0807962939143181
1765060060.9229,65,0.792734146118164,0.0795423537492752
1765060116.45996,66,0.554800927639008,0.0801024958491325
1765060171.79293,67,0.684074521064758,0.079341784119606
1765060226.97325,68,0.353813111782074,0.0797165185213089
1765060282.09655,69,0.896465420722961,0.0779045149683952
1765060337.6584,70,0.581867396831512,0.0791499465703964
1765060393.15358,71,0.546693444252014,0.0807141289114952
1765060448.42061,72,0.507923603057861,0.0788092017173767
1765060503.50523,73,0.443526387214661,0.0787570774555206
1765060558.53993,74,0.464236110448837,0.0788929015398026
1765060613.73736,75,0.565298616886139,0.0761612355709076
1765060669.46063,76,0.443439722061157,0.0792756676673889
1765060724.66735,77,0.484296441078186,0.0786167755723
1765060780.1107,78,0.447940528392792,0.0782390311360359
1765060835.59507,79,0.381828427314758,0.0779564380645752
1765060890.6622,80,0.802665054798126,0.0751626640558243
1765060945.87966,81,0.425480246543884,0.0761875882744789
1765061001.02877,82,0.854898452758789,0.0748122036457062
1765061056.51949,83,0.307466000318527,0.0768771171569824
1765061111.91317,84,0.558309435844421,0.075076550245285
1765061167.43656,85,0.924317896366119,0.077468752861023
1765061222.89518,86,0.688296854496002,0.0734357684850693
1765061278.2633,87,0.498182952404022,0.0749485120177269
1765061333.59385,88,0.397578418254852,0.0759985595941544
1765061388.96755,89,0.80273711681366,0.0768920406699181
1765061444.11237,90,0.455980807542801,0.0736978799104691
1765061499.23128,91,0.272568792104721,0.0764557048678398
1765061554.47966,92,0.444193601608276,0.0754113271832466
1765061609.53811,93,0.486791878938675,0.0759913995862007
1765061665.07099,94,0.52599024772644,0.0755055248737335
1765061720.43181,95,0.551505029201508,0.074072077870369
1765061775.90247,96,1.12773406505585,0.0754123032093048
1765061831.10995,97,0.341203689575195,0.0759113430976868
1765061886.40492,98,0.53981351852417,0.074817530810833
1765061941.74176,99,0.751248836517334,0.0757650136947632
1765061997.23558,100,0.584961771965027,0.0751352310180664
1765062052.73528,101,0.570179402828217,0.0750038102269173
1765062108.39616,102,0.239876419305801,0.0760298892855644
1765062163.98792,103,0.419522553682327,0.0738789141178131
1765062219.30152,104,0.561573565006256,0.0748027637600899
1765062274.70421,105,0.538741409778595,0.0752433314919472
1765062329.91224,106,0.302002638578415,0.0728616863489151
1765062385.15573,107,0.487715691328049,0.0741312578320503
1765062440.35962,108,0.369722902774811,0.0749836936593056
1765062495.56215,109,0.401403278112412,0.0742055028676987
1765062551.18329,110,0.428664952516556,0.0764438882470131
1765062606.82141,111,0.67560738325119,0.0735410377383232
1765062662.04786,112,0.217902928590775,0.0755984708666801
1765062717.59867,113,0.481221318244934,0.0739907026290894
1765062772.71651,114,0.521786093711853,0.075771301984787
1765062828.38694,115,0.73835951089859,0.0743009448051453
1765062883.70197,116,0.472748935222626,0.0740287303924561
1765062939.30375,117,0.28170371055603,0.0745008140802383
1765062994.81939,118,0.311190038919449,0.0741531103849411
1765063050.08048,119,0.57425719499588,0.0735084190964699
1765063105.75491,120,0.41405388712883,0.0755451545119286
1765063161.16158,121,0.550005316734314,0.0731883719563484
1765063216.54954,122,0.451043099164963,0.0736310109496117
