Wall time,Step,Loss,RMSE_log Loss
1764712958.44977,0,1.84419929981232,1.28945827484131
1764713015.42141,1,1.11773800849915,0.725624918937683
1764713072.69487,2,0.971535921096802,0.541699588298798
1764713129.91068,3,1.22310304641724,0.457397073507309
1764713186.82764,4,1.14346516132355,0.408061444759369
1764713243.15947,5,1.16839516162872,0.380779266357422
1764713299.38979,6,1.60449552536011,0.36737135052681
1764713355.51161,7,0.994258403778076,0.29647108912468
1764713411.62656,8,0.775650441646576,0.314203560352325
1764713467.7497,9,0.633640944957733,0.251739770174026
1764713523.56246,10,0.690295994281769,0.251883298158646
1764713578.8848,11,0.532736241817474,0.235580459237099
1764713633.43334,12,0.436020821332932,0.234731003642082
1764713688.11525,13,1.03050565719605,0.218522191047668
1764713743.19519,14,0.80550742149353,0.21200430393219
1764713798.2822,15,0.474215656518936,0.211874723434448
1764713853.00484,16,1.2938666343689,0.191466733813286
1764713907.44997,17,0.612724363803864,0.188725382089615
1764713962.08469,18,0.67389315366745,0.177725583314896
1764714016.8813,19,0.490939795970917,0.182579547166824
1764714071.22876,20,0.819507122039795,0.159512996673584
1764714125.82136,21,0.471944510936737,0.142859891057014
1764714180.27283,22,0.363272607326508,0.153829216957092
1764714234.75289,23,0.94193422794342,0.136050432920456
1764714289.20088,24,1.13694989681244,0.137604922056198
1764714343.59063,25,0.617253005504608,0.127554327249527
1764714397.75533,26,0.652464210987091,0.126702636480331
1764714452.10103,27,0.550249695777893,0.121857814490795
1764714506.38093,28,0.412555068731308,0.119574911892414
1764714560.66655,29,0.826859652996063,0.117115169763565
1764714615.02894,30,0.613680005073547,0.108998402953148
1764714669.37599,31,0.715347230434418,0.113220326602459
1764714723.6647,32,0.762977242469788,0.10727958381176
1764714777.87678,33,0.384681314229965,0.0829854607582092
1764714832.25283,34,0.536466360092163,0.0816845819354057
1764714886.55309,35,0.406728208065033,0.0830403864383698
1764714940.8828,36,0.588917315006256,0.0815333798527718
1764714995.27135,37,0.222846761345863,0.0757796168327332
1764715049.68859,38,0.573750078678131,0.0746043473482132
1764715104.05161,39,0.254157572984695,0.0727642998099327
1764715158.65253,40,0.582729160785675,0.0732203722000122
1764715213.22252,41,0.28039225935936,0.073267973959446
1764715267.93966,42,0.22891703248024,0.0691279098391533
1764715322.46527,43,0.374772638082504,0.072020947933197
1764715376.84953,44,0.367080986499786,0.070434682071209
1764715431.60929,45,0.584355711936951,0.0657682195305824
1764715486.17003,46,0.51058703660965,0.068403571844101
1764715540.86263,47,0.278212696313858,0.065750777721405
1764715595.74334,48,0.403614491224289,0.0611761659383774
1764715650.64317,49,0.430043756961823,0.0594146102666855
1764715705.1089,50,0.222352609038353,0.0580877996981144
1764715760.258,51,0.431044399738312,0.0582198090851307
1764715814.96911,52,0.318396955728531,0.0577100776135922
1764715869.81028,53,0.259822756052017,0.0573945976793766
1764715924.76775,54,0.262482851743698,0.0560603328049183
1764715979.58753,55,0.414799332618713,0.0567857883870602
1764716034.64056,56,0.304413050413132,0.0564367212355137
1764716089.33654,57,0.325477123260498,0.0569892451167107
1764716144.16138,58,0.437498778104782,0.0551165603101254
1764716199.02231,59,0.498610734939575,0.055450402200222
1764716253.89143,60,0.349794030189514,0.0546717196702957
1764716308.91541,61,0.455431640148163,0.0546407364308834
1764716363.87928,62,0.305255770683289,0.0527081564068794
1764716418.65061,63,0.333525806665421,0.0532433390617371
1764716473.6358,64,0.315356582403183,0.0525429993867874
1764716528.63251,65,0.462397456169128,0.0520260408520699
1764716583.94631,66,0.473643094301224,0.0550189130008221
1764716639.03672,67,0.328180551528931,0.051953349262476
1764716694.03079,68,0.252876847982407,0.0527641028165817
1764716749.14415,69,0.593848943710327,0.0523858591914177
1764716804.34023,70,0.301601886749268,0.0511181987822056
1764716859.18839,71,0.308013260364532,0.050844494253397
1764716914.20617,72,0.295558661222458,0.0507852770388126
1764716969.29258,73,0.276908248662949,0.0513833910226822
1764717024.28609,74,0.34714350104332,0.050399761646986
1764717079.04056,75,0.257981568574905,0.0518635734915733
1764717134.01043,76,0.319521307945251,0.05028111115098
1764717188.87424,77,0.398554056882858,0.0495384000241756
1764717243.70187,78,0.178135365247726,0.0496631860733032
1764717298.74848,79,0.237512916326523,0.049548864364624
1764717353.84335,80,0.531296193599701,0.0497259572148323
1764717408.88167,81,0.239738315343857,0.0496740601956844
1764717463.80098,82,0.454024910926819,0.0493065118789673
1764717518.69387,83,0.166178405284882,0.049380224198103
1764717573.64278,84,0.308902859687805,0.0492646656930447
1764717628.54173,85,0.638440847396851,0.0490190200507641
1764717683.24734,86,0.35523396730423,0.0493750870227814
1764717738.35963,87,0.356668174266815,0.0488135069608688
1764717793.0653,88,0.291538923978806,0.0490531101822853
1764717848.03893,89,0.620973825454712,0.0487752743065357
1764717902.74172,90,0.383165687322617,0.0493735074996948
1764717957.66652,91,0.162493750452995,0.0489485375583172
1764718012.65009,92,0.281326472759247,0.0491601414978504
1764718067.38578,93,0.394812732934952,0.0490747056901455
1764718122.13421,94,0.350742101669312,0.048804622143507
1764718177.1335,95,0.371896684169769,0.0485613122582436
1764718231.96079,96,0.519673109054565,0.0481303781270981
1764718287.1039,97,0.236522927880287,0.0494474992156029
1764718341.62749,98,0.344949156045914,0.0488133393228054
1764718396.56985,99,0.56394237279892,0.0483905896544457
1764718451.31062,100,0.414126068353653,0.0481760315597057
1764718506.0011,101,0.374506115913391,0.047972496598959
1764718560.86212,102,0.165144920349121,0.0484361350536346
1764718615.43328,103,0.260708540678024,0.0481789745390415
1764718670.07969,104,0.365997225046158,0.0477708019316196
1764718724.47717,105,0.354828685522079,0.047900028526783
1764718779.48425,106,0.282256364822388,0.0481479726731777
1764718834.28066,107,0.243186071515083,0.0476068593561649
1764718888.7954,108,0.214675471186638,0.047742024064064
1764718943.2003,109,0.208697736263275,0.0477190166711807
1764718997.45766,110,0.270620584487915,0.0481175184249878
1764719051.84739,111,0.422989696264267,0.0473790168762207
1764719106.14255,112,0.121865287423134,0.0478752069175243
1764719160.5997,113,0.320568472146988,0.047103762626648
1764719214.96815,114,0.386634707450867,0.0479978695511818
1764719269.76625,115,0.550435423851013,0.048104714602232
1764719324.02507,116,0.298355877399445,0.0480235293507576
1764719378.36686,117,0.194757178425789,0.0475645326077938
1764719432.56906,118,0.21228663623333,0.0477731451392174
1764719487.02925,119,0.402279794216156,0.0479676276445389
1764719541.38986,120,0.333254367113113,0.0473638214170933
1764719595.91014,121,0.225971966981888,0.048149686306715
1764719650.26903,122,0.325253665447235,0.047559704631567
1764719704.86546,123,0.432302206754684,0.0475273169577122
1764719759.43667,124,0.419606447219849,0.0471488982439041
1764719814.13487,125,0.306356877088547,0.0479388050734997
1764719868.53275,126,0.189325988292694,0.0469051674008369
1764719923.0469,127,0.3915636241436,0.0466618463397026
1764719977.37129,128,0.243531197309494,0.0473526865243912
1764720031.8842,129,0.105626329779625,0.0472332686185837
1764720086.49326,130,0.27799054980278,0.0468249320983887
1764720141.01503,131,0.471263766288757,0.0469895377755165
1764720195.60341,132,0.255988746881485,0.0478439815342426
1764720250.0115,133,0.293914139270782,0.0470480844378471
1764720304.40003,134,0.264396488666534,0.0473739244043827
1764720358.60925,135,0.368751376867294,0.0471942462027073
1764720413.40964,136,0.444125503301621,0.0466930530965328
1764720468.18877,137,0.207299575209618,0.0474438741803169
1764720522.88053,138,0.261667221784592,0.0471892543137074
1764720577.48066,139,0.175870329141617,0.047227930277586
1764720632.19236,140,0.312514066696167,0.047262217849493
1764720686.53898,141,0.320324689149857,0.0465328916907311
1764720740.81033,142,0.26144552230835,0.0473900996148586
1764720795.17659,143,0.555863082408905,0.0478745438158512
1764720849.51887,144,0.25243616104126,0.0472536645829678
1764720903.75627,145,0.267636209726334,0.0468889400362968
1764720958.19389,146,0.18876014649868,0.0463223420083523
1764721012.53703,147,0.397857338190079,0.0469220988452435
1764721066.70533,148,0.477364718914032,0.0465397350490093
1764721120.7591,149,0.407417446374893,0.0466881617903709
1764721175.13834,150,0.131180748343468,0.046729601919651
1764721229.45525,151,0.330830156803131,0.0467671677470207
1764721284.01795,152,0.446908563375473,0.0469742715358734
1764721338.42651,153,0.151123762130737,0.0473898500204086
1764721392.8438,154,0.496262818574905,0.0469366572797298
1764721447.23842,155,0.187978774309158,0.0465550161898136
1764721501.65842,156,0.156684681773186,0.0470699928700924
1764721556.31447,157,0.235311806201935,0.046235341578722
1764721610.68477,158,0.244346007704735,0.047372829169035
1764721665.00836,159,0.163269951939583,0.0472620390355587
1764721719.284,160,0.369606971740723,0.0478251054883003
1764721773.72578,161,0.282323181629181,0.0466731302440167
1764721828.14022,162,0.336822390556335,0.0470978245139122
1764721882.5457,163,0.358806937932968,0.047110065817833
1764721937.24024,164,0.153732880949974,0.0467107817530632
1764721991.79061,165,0.317522555589676,0.0468655005097389
1764722046.03329,166,0.538800001144409,0.0473013408482075
1764722100.51229,167,0.284170717000961,0.046810906380415
1764722155.06662,168,0.478515803813934,0.0468851886689663
1764722209.36319,169,0.21377931535244,0.0468139015138149
1764722263.53418,170,0.155758872628212,0.0471411533653736
1764722317.83612,171,0.395492136478424,0.0472274459898472
1764722371.95447,172,0.185299560427666,0.0470130927860737
1764722426.27881,173,0.225368395447731,0.0467788614332676
1764722480.63539,174,0.172820240259171,0.0463359504938126
1764722535.04632,175,0.177740722894669,0.0467984676361084
1764722589.53209,176,0.194350600242615,0.0470070652663708
1764722643.83567,177,0.23068767786026,0.0467733815312386
1764722698.2146,178,0.127435967326164,0.0467456690967083
1764722752.61157,179,0.395552486181259,0.0469713546335697
1764722806.96144,180,0.162305682897568,0.0468016378581524
1764722861.30998,181,0.253936290740967,0.0467929504811764
1764722915.62668,182,0.280223578214645,0.0472665354609489
1764722970.14437,183,0.168795108795166,0.0467068143188953
1764723024.20027,184,0.113281168043613,0.04619250446558
1764723078.40323,185,0.241787374019623,0.0466863438487053
1764723132.3848,186,0.210133522748947,0.0464794375002384
1764723186.50746,187,0.272385388612747,0.0467771403491497
1764723240.79894,188,0.152139201760292,0.047322154045105
1764723295.15269,189,0.187044650316238,0.0462198033928871
1764723349.36131,190,0.343762278556824,0.0474325604736805
1764723403.66867,191,0.158732667565346,0.0463228709995747
1764723457.85563,192,0.306773990392685,0.0469294562935829
1764723511.79562,193,0.425221621990204,0.0465809814631939
1764723565.85574,194,0.342640042304993,0.0462988801300526
1764723620.04208,195,0.23635858297348,0.0470135472714901
1764723674.3353,196,0.358581811189651,0.0468432493507862
1764723728.54617,197,0.447392493486404,0.0469631925225258
1764723782.89612,198,0.0958104953169823,0.0467005595564842
1764723837.15124,199,0.329266786575317,0.0467892400920391
1764723891.21813,200,0.212016507983208,0.0466128475964069
1764723945.40311,201,0.334335029125214,0.0471454821527004
1764723999.45228,202,0.277170062065125,0.0467463806271553
1764724053.63006,203,0.44513151049614,0.0466748215258122
1764724107.73798,204,0.178004577755928,0.0463299043476582
1764724161.81085,205,0.260327965021133,0.0460824407637119
1764724216.00311,206,0.549832344055176,0.0466380082070828
1764724270.12489,207,0.315986961126328,0.0471994616091251
1764724324.38783,208,0.41219499707222,0.0469404011964798
1764724378.43753,209,0.366193026304245,0.0467242859303951
1764724432.69263,210,0.346468418836594,0.0465895533561707
1764724487.05913,211,0.351375371217728,0.0463728494942188
1764724541.23256,212,0.51825612783432,0.0465300120413303
1764724595.40643,213,0.324258983135223,0.0469625853002071
1764724649.38964,214,0.347829163074493,0.0464837737381458
1764724703.6065,215,0.384461045265198,0.0464958883821964
1764724758.02803,216,0.407096743583679,0.0466660521924496
1764724812.20609,217,0.118798717856407,0.0463168323040009
1764724866.34447,218,0.269576817750931,0.0467076823115349
1764724920.53036,219,0.231092199683189,0.0467536449432373
1764724974.7561,220,0.549923956394196,0.0465617179870606
1764725029.06877,221,0.441066861152649,0.0462981946766377
1764725083.21493,222,0.263276070356369,0.0462837629020214
1764725137.43676,223,0.171045437455177,0.0463136807084084
1764725191.46745,224,0.263064831495285,0.0468644462525845
1764725245.59507,225,0.170144930481911,0.0464455559849739
1764725299.82512,226,0.290433645248413,0.04627875238657
1764725354.07462,227,0.335915476083755,0.0466886460781097
1764725408.39916,228,0.429855972528458,0.0462111979722977
1764725462.49737,229,0.297131240367889,0.0460026562213898
1764725516.89434,230,0.49720823764801,0.0464903116226196
1764725571.00009,231,0.347436457872391,0.0461262986063957
1764725625.36668,232,0.215005457401276,0.0466642715036869
1764725679.72071,233,0.316911041736603,0.0465110167860985
1764725733.93207,234,0.387847006320953,0.045884657651186
1764725788.08139,235,0.186792895197868,0.04633679240942
1764725842.36846,236,0.157381698489189,0.0463654324412346
1764725896.71727,237,0.334585785865784,0.0466579236090183
1764725951.07018,238,0.514114618301392,0.0467621125280857
1764726005.36726,239,0.245301440358162,0.046780776232481
1764726059.49341,240,0.327432513237,0.046308446675539
1764726113.86371,241,0.388946980237961,0.0461084917187691
1764726168.18685,242,0.235564917325973,0.0462503582239151
1764726222.4116,243,0.194413423538208,0.0468373484909534
1764726276.74697,244,0.155771598219872,0.0465558022260666
1764726331.05488,245,0.431565076112747,0.0463929176330566
1764726385.38055,246,0.278296411037445,0.0465238504111767
1764726439.77635,247,0.154520153999329,0.0468522273004055
1764726494.13484,248,0.324382334947586,0.0462353192269802
1764726548.45297,249,0.325042903423309,0.0465468727052212
1764726602.66543,250,0.251638233661652,0.0464850552380085
1764726656.90866,251,0.410494357347488,0.046181783080101
1764726711.35968,252,0.555873215198517,0.0464866422116756
1764726765.70914,253,0.308527708053589,0.0465100668370724
1764726820.01247,254,0.24095393717289,0.0461845397949219
1764726874.22551,255,0.295689612627029,0.0466153956949711
1764726928.48771,256,0.358589351177216,0.0465488694608212
1764726983.01511,257,0.235820189118385,0.0465587414801121
1764727037.19976,258,0.352450847625732,0.0464238375425339
1764727091.37187,259,0.173446640372276,0.0463135056197643
1764727145.60494,260,0.366018176078796,0.0459789298474789
1764727199.89531,261,0.224140018224716,0.0466277822852135
1764727254.17349,262,0.172126650810242,0.0464739874005318
1764727308.58075,263,0.282184779644012,0.0460246317088604
1764727362.86007,264,0.429887235164642,0.0461253337562084
1764727417.09695,265,0.272293984889984,0.0461440049111843
1764727471.33762,266,0.142696723341942,0.0463734865188599
1764727525.71938,267,0.383836716413498,0.0464179217815399
1764727580.06792,268,0.322771221399307,0.0458921976387501
1764727634.45563,269,0.207843571901321,0.0459513030946255
1764727688.86387,270,0.185446381568909,0.046266321092844
1764727743.18702,271,0.24415123462677,0.046528160572052
1764727797.46154,272,0.332857698202133,0.0456333979964256
1764727851.92763,273,0.258246690034866,0.0462844707071781
1764727906.36764,274,0.424114733934402,0.0465606339275837
1764727960.80637,275,0.468143135309219,0.0462260767817497
1764728015.39751,276,0.2452482432127,0.0461708940565586
1764728069.74162,277,0.292701870203018,0.0461540222167969
1764728124.22949,278,0.306778311729431,0.0460215583443642
1764728178.61706,279,0.232460007071495,0.04665632173419
1764728233.06702,280,0.292850136756897,0.0458433106541634
1764728287.5729,281,0.247376933693886,0.0459797158837318
1764728342.00384,282,0.36002054810524,0.0461371019482613
1764728396.44077,283,0.427057683467865,0.0463237017393112
1764728450.74667,284,0.312517762184143,0.0465767346322537
1764728505.11619,285,0.172401651740074,0.0462378077208996
1764728559.53692,286,0.392071574926376,0.0465606302022934
1764728614.03027,287,0.168833836913109,0.0461062379181385
1764728668.33866,288,0.175425752997398,0.0461986996233463
1764728722.65779,289,0.202017605304718,0.0464453995227814
1764728777.00206,290,0.217038094997406,0.0462047345936298
1764728831.20557,291,0.136844471096993,0.0460506901144981
1764728885.62898,292,0.192069932818413,0.0471398942172527
1764728939.89388,293,0.70506489276886,0.046347126364708
1764728994.34642,294,0.205484762787819,0.0459086112678051
1764729048.74896,295,0.259339720010757,0.046041700989008
1764729103.14613,296,0.261335492134094,0.0456976890563965
1764729157.60406,297,0.138889834284782,0.0460352227091789
1764729211.94363,298,0.150636151432991,0.0458063706755638
1764729266.29682,299,0.172760084271431,0.0462029576301575
1764729320.61848,300,0.450893402099609,0.0461572706699371
1764729375.04546,301,0.333163797855377,0.0461166352033615
1764729429.32725,302,0.331341058015823,0.0460834018886089
1764729483.52885,303,0.45690330862999,0.0459081716835499
1764729537.86344,304,0.244303286075592,0.0459921918809414
1764729592.40132,305,0.310021072626114,0.0458170399069786
1764729646.74546,306,0.124421007931232,0.0468197762966156
1764729701.25715,307,0.139129921793938,0.0458038114011288
1764729755.69366,308,0.258404642343521,0.0462749823927879
1764729810.30729,309,0.540935277938843,0.0459679514169693
1764729864.79498,310,0.160723894834518,0.0457113683223724
1764729919.23068,311,0.15683850646019,0.045784305781126
1764729973.61057,312,0.116698749363422,0.0455011315643787
1764730028.16105,313,0.302125364542007,0.045896977186203
1764730082.5072,314,0.244771555066109,0.0458704978227615
1764730136.89367,315,0.211322069168091,0.0465892367064953
1764730191.26353,316,0.179100066423416,0.0457423590123653
1764730245.64673,317,0.612532734870911,0.046266108751297
1764730299.98518,318,0.188674733042717,0.0455926656723022
1764730354.36115,319,0.266546428203583,0.0459738411009312
1764730408.65787,320,0.283389091491699,0.0457934066653252
1764730463.20835,321,0.272593915462494,0.0457815825939178
1764730517.48447,322,0.284094154834747,0.0458329692482948
1764730571.86772,323,0.309794515371323,0.0454868711531162
1764730626.15943,324,0.297065019607544,0.0458130948245525
1764730680.64244,325,0.288925588130951,0.0458225645124912
1764730735.03998,326,0.28444042801857,0.0453392751514912
1764730789.45484,327,0.370283007621765,0.0458434596657753
1764730843.76145,328,0.179245308041573,0.046063244342804
1764730898.23407,329,0.353461414575577,0.0460762456059456
1764730952.65636,330,0.371510088443756,0.0461630038917065
1764731007.16586,331,0.367233633995056,0.0457819737493992
1764731061.67833,332,0.237817034125328,0.0455602370202541
1764731116.18477,333,0.411085397005081,0.046268992125988
1764731170.60472,334,0.306037157773972,0.0457818508148193
1764731224.91167,335,0.428750306367874,0.0458373539149761
1764731279.44056,336,0.25199493765831,0.0457604341208935
1764731333.92094,337,0.155906066298485,0.0461437851190567
1764731388.43856,338,0.218814104795456,0.0456036701798439
1764731442.88571,339,0.194757178425789,0.0458578430116177
1764731497.44447,340,0.394131451845169,0.0462082736194134
1764731551.88176,341,0.259782075881958,0.0457797907292843
1764731606.31489,342,0.433282375335693,0.0458071641623974
1764731660.84861,343,0.305882632732391,0.0455975346267223
1764731715.24735,344,0.273380309343338,0.0456941798329353
1764731769.95233,345,0.253848850727081,0.0456424281001091
1764731824.56911,346,0.200843453407288,0.0453260913491249
1764731879.1018,347,0.505920946598053,0.0459082312881947
1764731933.55431,348,0.244454473257065,0.0454597100615501
1764731987.98832,349,0.483452677726746,0.0462546534836292
1764732042.46198,350,0.251213669776916,0.0457191206514835
1764732096.76501,351,0.316390454769135,0.0454357266426086
1764732151.33657,352,0.198334529995918,0.0452712401747704
1764732205.7416,353,0.270041823387146,0.0460225716233254
1764732260.16636,354,0.270449817180634,0.0455346181988716
1764732314.61479,355,0.263965964317322,0.045294925570488
1764732369.19412,356,0.340488314628601,0.0453956089913845
1764732423.79854,357,0.175858378410339,0.0450596809387207
1764732478.30225,358,0.21231298148632,0.0463108792901039
1764732532.82201,359,0.298673331737518,0.0452467761933804
1764732587.31775,360,0.306320279836655,0.0458173826336861
1764732641.7591,361,0.221358180046082,0.0458082631230354
1764732696.17435,362,0.422672897577286,0.0456594899296761
1764732750.59932,363,0.349524885416031,0.0454543121159077
1764732804.98607,364,0.336254596710205,0.0459282509982586
1764732859.42351,365,0.317499786615372,0.0455588288605213
1764732914.17002,366,0.18544115126133,0.0456172153353691
1764732968.66289,367,0.240715280175209,0.0454710721969605
1764733023.21894,368,0.158358722925186,0.0459890589118004
1764733077.64265,369,0.123876437544823,0.0462915487587452
1764733132.11132,370,0.246961012482643,0.0458616055548191
1764733186.40761,371,0.521414279937744,0.0458841510117054
1764733240.8181,372,0.295451283454895,0.0455602668225765
1764733295.43357,373,0.262034714221954,0.0456262789666653
1764733350.01286,374,0.182939007878304,0.0457975827157497
1764733404.55779,375,0.492790132761002,0.045937854796648
1764733459.13448,376,0.228070005774498,0.0450672022998333
1764733513.49643,377,0.2914679646492,0.0456467866897583
1764733567.93961,378,0.302981853485107,0.0456613674759865
1764733622.39012,379,0.380797415971756,0.045423224568367
1764733676.79366,380,0.202018678188324,0.0456012822687626
1764733731.30399,381,0.231034606695175,0.0455748401582241
1764733785.73326,382,0.210550203919411,0.0454365536570549
1764733840.21991,383,0.175045296549797,0.0457246042788029
1764733894.7189,384,0.277736395597458,0.0453999973833561
1764733949.23766,385,0.282128244638443,0.0457238331437111
1764734003.71568,386,0.102822199463844,0.0458148159086704
1764734058.23145,387,0.278392910957336,0.045354176312685
1764734112.75473,388,0.514888346195221,0.0453497059643269
1764734167.23046,389,0.362384915351868,0.0456090085208416
1764734221.89605,390,0.0994878932833672,0.0456537120044231
1764734276.42711,391,0.299917191267014,0.0457433462142944
